auc,candidate_tag,delta_auc,delta_reference,evolution_prompt,node,patterns,relationship,run_id,status,step,ticker,variant,won
0.597254004576659,step_1_candidate_0,0.07551487414187641,baseline_article_embedding,default,EconomicIndicator,"[[""Article"", ""MENTIONS"", ""EconomicIndicator""]]",REFERENCES,fe10350f1eb54fef84a9ca753174ad31,rejected,1,TSLA,0,False
0.7871853546910755,step_1_candidate_1,0.26544622425629294,baseline_article_embedding,default,EarningsReport,"[[""Company"", ""HAS_EARNINGS"", ""EarningsReport""]]",HAS_EARNINGS,fe10350f1eb54fef84a9ca753174ad31,accepted,1,TSLA,1,True
0.5995423340961099,step_2_candidate_0,-0.18764302059496563,last_accepted_winner,default,RegulatoryBody,"[[""Article"", ""MENTIONS_REGULATORY"", ""RegulatoryBody""]]",MENTIONS_REGULATORY,fe10350f1eb54fef84a9ca753174ad31,rejected,2,TSLA,0,False
0.6864988558352403,step_2_candidate_1,-0.10068649885583525,last_accepted_winner,default,CreditRating,"[[""Company"", ""HAS_CREDIT_RATING"", ""CreditRating""]]",HAS_CREDIT_RATING,fe10350f1eb54fef84a9ca753174ad31,rejected,2,TSLA,1,True
0.6018306636155607,step_3_candidate_0,-0.18535469107551483,last_accepted_winner,default,RegulatoryAnnouncement,"[[""Company"", ""HAS_REGULATORY_ANNOUNCEMENT"", ""RegulatoryAnnouncement""]]",HAS_REGULATORY_ANNOUNCEMENT,fe10350f1eb54fef84a9ca753174ad31,rejected,3,TSLA,0,False
0.643020594965675,step_3_candidate_1,-0.14416475972540055,last_accepted_winner,default,Dividend,"[[""Company"", ""HAS_DIVIDEND"", ""Dividend""]]",HAS_DIVIDEND,fe10350f1eb54fef84a9ca753174ad31,rejected,3,TSLA,1,True
0.3707093821510298,step_1_candidate_0,-0.2791762013729976,baseline_article_embedding,event_driven,EconomicIndicator,"[[""Article"", ""MENTIONS"", ""EconomicIndicator""]]",REFERENCES,798cdc6344ef4cadb84c6f9df09e6148,rejected,1,TSLA,0,False
0.702517162471396,step_1_candidate_1,0.052631578947368585,baseline_article_embedding,event_driven,RegulatoryBody,"[[""Article"", ""MENTIONS_REGULATORY_BODY"", ""RegulatoryBody""]]",MENTIONS_REGULATORY_BODY,798cdc6344ef4cadb84c6f9df09e6148,accepted,1,TSLA,1,True
0.631578947368421,step_2_candidate_0,-0.07093821510297493,last_accepted_winner,event_driven,CreditRating,"[[""Company"", ""HAS_CREDIT_RATING"", ""CreditRating""]]",HAS_CREDIT_RATING,798cdc6344ef4cadb84c6f9df09e6148,rejected,2,TSLA,0,True
0.47597254004576656,step_2_candidate_1,-0.2265446224256294,last_accepted_winner,event_driven,GeographicRegion,"[[""Company"", ""LOCATED_IN"", ""GeographicRegion""]]",LOCATED_IN,798cdc6344ef4cadb84c6f9df09e6148,rejected,2,TSLA,1,False
0.2723112128146453,step_3_candidate_0,-0.43020594965675063,last_accepted_winner,event_driven,Industry,"[[""Company"", ""OPERATES_IN"", ""Industry""]]",OPERATES_IN,798cdc6344ef4cadb84c6f9df09e6148,rejected,3,TSLA,0,True
