ticker,run_id,lookback_days,steps,chain_hops,evolution_prompt,baseline_auc,final_auc,delta,train_auc,final_candidate,path_mean_norm,brier_score,f1,n_nodes,n_edges,max_hops_val
TSLA,fe10350f1eb54fef84a9ca753174ad31,3,3,3,default,0.521739,0.787185,0.265446,,step_1_candidate_1,0.7921263575553894,0.1991301029920578,0.7142857142857143,3057,15520,3
TSLA,798cdc6344ef4cadb84c6f9df09e6148,20,5,3,event_driven,0.649886,0.743707,0.093822,,step_5_candidate_0,0.15022170543670654,0.20927715301513672,0.6666666666666666,4229,34790,3
TSLA,47542f41c56a41139c2b1100bda8d3b9,10,3,5,event_driven,0.521739,0.729977,0.208238,,step_2_candidate_0,0,0.24617312848567963,0.6808510638297872,3179,19269,0
TSLA,1f0899fe991849538e443ea5f5944fb6,8,3,5,event_driven,0.558352,0.723112,0.16476,,step_1_candidate_1,0,0.2623787820339203,0.6666666666666666,2994,16084,0
TSLA,9f374dc0f20a423c96b951a8aceb2cf4,10,7,5,default,0.521739,0.700229,0.17849,,step_2_candidate_0,0,0.25390687584877014,0.6222222222222222,3157,19201,0
TSLA,83e99ed53e1f498a9a0c4d2b50816d2e,20,7,5,default,0.649886,0.681922,0.032037,,step_6_candidate_0,0,0.27937617897987366,0.6521739130434783,4385,38645,0
TSLA,cfd8f4c606624f678244d03fff502faf,20,7,3,fundamental,0.649886,0.672769,0.022883,,step_7_candidate_0,0.27382007241249084,0.3541988730430603,0.5862068965517241,5233,42050,3
TSLA,9cbbd194517b42f4b7996c1ea9a0cd2d,10,5,3,event_driven,0.521739,0.668192,0.146453,,step_4_candidate_1,0.2302679866552353,0.32231831550598145,0.5925925925925926,3919,33006,3
TSLA,10948ae554d24af7a1c931cdb63c12d7,20,7,4,event_driven,0.649886,0.633867,-0.016018,,step_1_candidate_1,0.3846483826637268,0.26150497794151306,0.5263157894736842,3019,16094,4
TSLA,cc3b710f71c548c7b28052a29827d26b,8,7,5,default,0.558352,0.633867,0.075515,,step_6_candidate_0,0.12221603095531464,0.31855595111846924,0.6,4364,39143,0
TSLA,1a57b00853a34c499f7b7dd2ab55faf5,10,7,3,fundamental,0.521739,0.629291,0.107551,,step_1_candidate_1,0.5703909993171692,0.2603321969509125,0.6666666666666666,3002,16283,3
TSLA,3f3a1746b0394cf581b81a8a4f10b181,20,5,5,fundamental,0.649886,0.629291,-0.020595,,step_1_candidate_1,0,0.264811247587204,0.6190476190476191,3003,16337,0
TSLA,831c7ddd855c4991b98a165e10c62625,10,7,4,event_driven,0.521739,0.627002,0.105263,,step_7_candidate_0,0.21890129148960114,0.2739652991294861,0.5263157894736842,5426,41999,4
TSLA,912536a531084b1abe733bf0ef09a945,3,3,4,fundamental,0.521739,0.622426,0.100686,,step_3_candidate_0,0.08779537677764893,0.29323887825012207,0.64,3915,24378,4
TSLA,6e7c0cf8e42d444ab55d0e454ca54435,10,5,5,fundamental,0.521739,0.620137,0.098398,,step_1_candidate_1,0.17118096351623535,0.26411864161491394,0.47058823529411764,2997,15149,5
TSLA,3caedd7280bb4f1db7acec606cd9b3a5,8,7,3,fundamental,0.558352,0.617849,0.059497,,step_2_candidate_0,0.6328579783439636,0.3354109227657318,0.6153846153846154,3445,19645,3
TSLA,6429a2d13c654bada325e346516056dc,10,3,3,default,0.521739,0.613272,0.091533,,step_1_candidate_1,0.6344528794288635,0.2794511616230011,0.4878048780487805,2993,16311,3
TSLA,1788192735a841d7aedf5b6cc6244067,8,5,4,default,0.558352,0.610984,0.052632,,step_2_candidate_0,0.16449257731437683,0.26006969809532166,0.6190476190476191,3353,19590,4
TSLA,97ce828d90464f0d904d89e7107e01f8,8,7,4,event_driven,0.558352,0.608696,0.050343,,step_4_candidate_1,0.1809939742088318,0.31766581535339355,0.5714285714285714,3891,33670,4
TSLA,7cf7a61f42204e9ab62bcf14d1c698f2,10,5,4,default,0.521739,0.608696,0.086957,,step_3_candidate_1,0.3074781000614166,0.2925405204296112,0.6666666666666666,3596,28459,4
TSLA,3ccbba8ba9d84009adb2b086511b3c04,3,7,4,event_driven,0.521739,0.604119,0.08238,,step_2_candidate_0,0,0.30027949810028076,0.6086956521739131,3181,19209,0
TSLA,e535c269408446e390521c71c4586f22,3,5,5,fundamental,0.521739,0.592677,0.070938,,step_5_candidate_1,0.03470372036099434,0.30660533905029297,0.6296296296296297,4136,36593,5
TSLA,ba2b7b9d22bd4a8589ad2e97c5cb8f20,3,5,3,event_driven,0.521739,0.592677,0.070938,,step_3_candidate_0,0.6689198613166809,0.2653507590293884,0.5714285714285714,3835,26317,3
TSLA,84ae77b00c1c4326a1717882d9a9914b,10,3,4,fundamental,0.521739,0.588101,0.066362,,step_1_candidate_1,0.22589996457099915,0.2872433662414551,0.4864864864864865,3003,16240,4
